idorganization,passwordhash,name,abbreviation,juridicalentity_idjuridicalentity,street,streetnumber,postal,city,province_idprovince,telnr,faxnr,url,organizationtypeother,goal,organizationkeywordother,remark,active,datecreated,email
107,,Jeugd & Gezondheid vzw,,1,Haachtsesteenweg,597/40,1031,Schaarbeek,6,,,,,"De opdracht van Jeugd & Gezondheid de CM-jeugddienst, een landelijk erkende jeugdorganisatie, bestaat eruit een kwalitatief hoogstaand jeugdbeleid te ontwikkelen ten behoeve van kinderen en jongeren tussen 6 en 30 jaar. Zij bevordert via sociale, culturele en sportieve activiteiten de gezonde ontplooiing van kinderen en jongeren. Jeugd & Gezondheid is actief op de volgende terreinen: - de technisch-pedagogische vorming van een vrijwilligerskader - de promotie van actieve vrijetijdsbesteding - het organiseren van vakanties voor kinderen en jongeren - opzetten van projecten in functie van gezondheidsvoorlichting en –opvoeding - mutualistische vormingen dienstverlening voor jongeren Binnen het vakantie- en vormingsaanbod wordt prioritair aandacht besteed aan bijzondere doelgroepen. ",NULL,NULL,1,1/26/2009 09:53,
108,,Semenwerkingsverband Sociale Tewerkstelling,SST,1,Land van Waaslaan,2-Feb,9000,Gent,4,,,,,"SST is de werkgeversfederatie voor de erkende sociale werkplaatsen en arbeidszorginitiatieven in Vlaanderen. SST staat in voor de ledenondersteuning en belangenverdediging, is spreekbuis voor de sector en neemt is de erkende werkgeversfederatie voor de sociale werkplaatsen in het paritair comité 327.",NULL,NULL,0,1/26/2009 10:00,
109,,Samenwerkingsverband Sociale Tewerkstelling,SST,1,Land van Waaslaan,2-Feb,9000,Gent,4,,,www.sst.be,,"SST is de werkgeversfederatie voor de erkende sociale werkplaatsen en arbeidszorginitiatieven in Vlaanderen. SST staat in voor de ledenondersteuning en belangenverdediging, is spreekbuis voor de sector en neemt is de erkende werkgeversfederatie voor de sociale werkplaatsen in het paritair comité 327.",NULL,NULL,1,1/26/2009 14:17,
110,,BZN Atlas,,1,Julius de Geyterstraat,57,2020,Antwerpen,1,,,www.bznatlas.be,,"BZN Atlas neemt initiatieven die zich richten op de wortels van geweld in de samenleving. Het kind, als meest kwetsbare schakel, staat hierbij centraal. BZN Atlas wil daarmee - geweld voorkomen - programma‘s ontwikkelen om trauma‘s te verwerken en destructief gedrag te veranderen in constructief - de samenleving blijvend sensibiliseren: geweld is onaanvaardbaar. In het centrum voor integrale gezinszorg, De Stobbe, waar gewerkt wordt met gezinnen waarin huiselijk geweld voorkomt, werd men telkens geconfronteerd met de leemtes in de wetgeving en de hulpverlening. Daarom werd in 2001, onder de vleugels van de Bond zonder Naam, de vzw Atlas-bzn opgericht. Het doel van de Atlas-projecten, met o.m. het dossier ‘Een Titanic vol kinderen’ en de acties op de Werelddag tegen Kindermishandeling, is de samenleving te sensibiliseren en oplossingen voor de problematiek van huiselijk geweld en meer bepaald het gebrek aan veiligheid van kinderen aan te reiken. ",NULL,,1,1/26/2009 15:21,
111,,Federatie Onafhankelijke Seniorenzorg (2),,1,Selsaetenstraat,50b,2160,Wommelgem,1,,,,,"De Federatie Onafhankelijke Seniorenzorg is een koepel die reeds meer dan tien jaar de belangen van de onafhankelijke (semi-)residentiële ouderenvoorzieningen verdedigt. De Federatie telt een 200-tal voorzieningen, gaande van lokale en regionale dienstencentra, dagverzorgingscentra en centra voor kortverblijf tot serviceflats, rusthuizen, rust- en verzorgingstehuizen en Sp-diensten.",NULL,NULL,1,1/26/2009 15:25,
112,,Grip VZW (2),,4,Koningsstraat,136,1000,Brussel,6,,,,,"GRIP, wat staat voor Gelijke Rechten voor Iedere Persoon met een handicap, is een burgerrechtenorganisatie voor en door mensen met een handicap. GRIP wil dat mensen met een handicap zelf kunnen beslissen wie ze zijn en wat ze met hun leven willen doen. De organisatie wil mensen ‘grip’ geven op hun eigen leven. Zelfbeschikking, autonomie en een evenwaardige participatie zijn dan ook drie hoofddoelstellingen. Via politiek lobbywerk en sensibilisatie van de ruime samenleving streeft GRIP naar gelijke rechten en kansen voor mensen met een handicap.",NULL,NULL,1,1/26/2009 15:26,
113,,Stad Gent - Integratiedienst,,1,Kaprijkestraat,12,9000,Gent,4,,,,,Het minderhedenbeleid richt zich naar vijf doelgroepen: * allochtone burgers die hier legaal gevestigd zijn; * erkende vluchtelingen; * trekkende bevolkingsgroepen (woonwagenbewoners en trekkende beroepsgroepen); * anderstalige nieuwkomers; * mensen zonder papieren. ,NULL,NULL,1,1/26/2009 15:28,
114,,Koepel van Vlaamse Kringloopcentra,,1,Junostraat,30,2600,Berchem,1,,,,,"De Koepel van Vlaamse Kringloopcentra vzw (KVK) overkoepelt alle kringloopcentra van Vlaanderen. Dit zijn 33 autonome organisaties met zo’n 100 winkelpunten verspreid over het hele gebied. De KVK heeft een dubbele rol. De ene rol is gericht op de buitenwereld en uit zich in de vorm van belangenbehartiging bij overheden en andere relevante partners. De andere rol is de maximale ondersteuning van de leden. De KVK treedt op als belangenbehartiger, vertegenwoordiger, denktank, kenniscentrum, dienstverlener en procesbegeleider. De kringloopsector heeft twee fundamentele doelstellingen: Milieu: De kringloopcentra verlengen de levensduur van herbruikbare goederen. Deze spullen worden gebracht of gratis opgehaald aan huis. Via de kringloopwinkels krijgen ze een nieuwe bestemming. Belangrijk is dat ze herbruikbaar zijn. Daarom wordt extra aandacht besteed aan de selectie. Wat beschadigd is of onvolledig hoort niet in een kringloopwinkel thuis. Sociale tewerkstelling: Voor de ingezamelde spullen opnieuw in de etalage staan worden ze zorgvuldig geselecteerd, gesorteerd, hersteld en schoongemaakt. Er zijn momenteel zo’n 2.350 mensen aan het werk in de 33 Vlaamse kringloopcentra. Door de steeds efficiëntere inzameling en verwerking en door het groeiend succes van de kringloopwinkels is er nog potentieel om de volgende jaren meer mensen tewerk te stellen die in het normale arbeidscircuit moeilijk aan de slag kunnen. ",NULL,NULL,1,1/27/2009 09:50,
115,,Blindenzorg Licht en Liefde Vzw,,1,Recolettenlei,6,9000,Gent,4,,,www.blindenzorglichtenliefde.be,,Vereniging die de belangen behartigt van visueel gehandicapten.,NULL,,1,1/27/2009 12:54,
116,,Het Keerpunt,,1,Prins Leopoldstraat,51,2140,Borgerhout,1,,,,,"Onderzoek naar de doorstroming van leerlingen uit het Centrum Deeltijds Onderwijs Technicum N-Antwerpen, nadat zij het Centrum verlaten hebben. ",NULL,,1,1/27/2009 13:01,
117,,HuisvandeMens Hasselt,,1,A. Rodenbackstraat,19,3500,Hasselt,3,,,,,"Lidorganisatie die valt onder de vzw Unie Vrijzinnige Verenigingen.Op dit moment zijn 14 operationeel waaraan moreel consulenten en assistent moreel consulenten verbonden zijn. De centra staan open voor de gehele bevolking en verzorgen morele dienstverlening op niet-confessionele basis. De werking is meervoudig en men kan er terecht met morele problemen. Dit wil zeggen vragen en problemen die te maken hebben met leven en dood, zingeving, hiërarchiesering van waarden, zelfbetekening, persoonlijke plaatsbepaling,... De centra vervullen daarnaast een ondersteunende, informatieverstrekkende en vormende functie rond levensbeschouwelijk getinte aangelegenheden. Bovendien kunnen de centra kernen vormen voor samenwerkingsverbanden met andere niet-confessionele initiatieven. De morele dienstverlening vertrekt vanuit een niet-confessioneel humanistische levensbeschouwing en heeft dus een emancipatorisch karakter. De morele dienstverlening wordt verstrekt op verzoek van de hulpvragende, met eerbiediging van zijn persoon en privé-overtuiging. Bovendien is ze volledig kosteloos. ",NULL,,1,1/27/2009 13:07,
118,,Samana,,1,Haachtsesteenweg,579 pb40,1031,Schaarbeek,6,,,,,"Socio-culturele vereniging voor chronisch zieke en gezonde mensen.  Het verenigt  chronisch zieke personen, zorgbehoevende personen en gezonden die het voor elkaar opnemen met als doel een veelzijdige persoonsontwikkeling en een volwaardige participatie a",NULL,,1,1/27/2009 13:19,
552,,Wetenschapswinkel Antwerpen,,4,Middelheimlaan,1,2020,Antwerpen,1,,,www.uantwerpen.be/wetenschapswinkel,,"De Wetenschapswinkel Antwerpen is een dienst aan de Universiteit Antwerpen.

Non-profitorganisaties kunnen er terecht voor wetenschappelijke ondersteuning via onderzoek of advies. Hun vragen creëren mogelijkheden voor maatschappelijk relevant (scriptie)onderzoek.

De Wetenschapswinkel Antwerpen is een van de regionale Wetenschapswinkels binnen het Vlaams Netwerk Wetenschapswinkels. Dit netwerk wordt gecoördineerd door de centrale eenheid aan de Vrije Universiteit Brussel.

Alle info: www.wetenschapswinkel.be",NULL,NULL,1,2/15/2017 11:55,
119,,De Dauw,,1,Moregemplein,3,9790,Wortegem-Petegem,4,,,,,"De Dauw is een vzw die zich richt naar kinderen met een autistische, psychotische of andere zware contactstoornissen, die problemen hebben om te volgen in het normaal of bijzonder onderwijs. ",NULL,,1,1/27/2009 13:26,
120,,De Klomp,,1,Hogenakkerstraat,7,9170,De Klinge,1,,,,,De Klomp is een heemkundige vereniging die alle kennis van het ambacht klompenmakerij wil bewaren via studie en onderzoek.,NULL,NULL,1,1/27/2009 13:29,
121,,Diversiteitsforum VUB,,1,Pleinlaan,2,105,Brussel,6,,,,,"Het Diversiteitsforum van de Vrije Universiteit Brussel is een organisatie binnen de onderwijsinstelling die zich inzet voor \iedereen die gewoon/anders is\"". """,NULL,,1,1/27/2009 13:33,
122,,Federatie  Onafhankelijke Seniorenzorg (3),,1,Seslaetenstraat,50b,2160,Wommelgem,1,,,,,"De Federatie Onafhankelijke Seniorenzorg is een koepel die reeds meer dan tien jaar de belangen van de onafhankelijke (semi-)residentiële ouderenvoorzieningen verdedigt. De Federatie telt een 200-tal voorzieningen, gaande van lokale en regionale dienstencentra, dagverzorgingscentra en centra voor kortverblijf tot serviceflats, rusthuizen, rust- en verzorgingstehuizen en Sp-diensten.",NULL,NULL,1,1/27/2009 13:37,
123,,Fietsersbond,,1,Boomgaardstraat,107,2600,Berchem,1,,,www.fietsersbond.be/antwerpen/district,,Mobiliteitsvereniging,NULL,,1,1/27/2009 16:20,
124,,Forum van Etnisch-Culturele minderheden (2),,1,Vooruitgangsstraat,323/4,1030,Brussel,6,,,,,"Het Forum voor Etnisch-Culturele Minderheden is een koepel van verenigingen van etnisch-culturele minderheden. Dit zijn allochtonen, vluchtelingen en woonwagenbewoners. Gedragen door de basis van het verenigingsleven, vervult het Forum het woordvoerderschap van deze groepen. Het Minderhedenforum ontwikkelt gezamenlijke visies en standpunten en is de erkende gesprekspartner van de overheid voor alle materies die de etnisch-culturele minderheden aanbelangen.",NULL,,1,1/27/2009 16:26,
125,,Het Stadsmus,,1,Guido Gezellelaan,2,3500,Hasselt,3,,,,,"Het Stadsmus is een stadsmuseum over, voor en van de Hasselaren. Het bewaart en ontsluit de wortels van de Hasselaren voor de Hasselaren en voor de mensen die zij zelf naar Hasselt uitnodigen. Het museum doet dit op een manier die enthousiasme opwekt voor het Hasselts materieel en immaterieel erfgoed en stimuleert zo het inlevingsvermogen van de bezoeker in het leven van de Hasselaren vandaag en in het verleden. Het museum heeft basiserkenning gekregen van de Vlaamse Gemeenschap.",NULL,,1,1/27/2009 16:32,
126,,ICT-jongerenplatform,,1,Pleinlaan,2,1050,Brussel,6,,,,,ICT-Jongerenplatform maakt deel uit van de cel Wetenschapscommunicatie van de Vrije Universiteit Brussel en levert inspanningen die het maatschappelijk draagvlak voor wetenschap en technologie vergroten.,NULL,NULL,1,1/27/2009 16:36,
127,,KSA,,1,Vooruitgansstraat,225,1030,Brussel,6,,,,,"KSAis een jeugdbeweging waarbij de 350 plaatselijke groepen, die (twee)wekelijks samen komen, centraal staan. De begeleidingsploeg zorgt voor een uitgebreide waaier aan activiteiten (spel, sport, knutselen, acteren) voor de verschillende leeftijdsgroepen. In de grote vakantie trekt KSA er vaak enkele dagen op uit. Naast het aanbieden van activiteiten zorgt de groep er ook voor dat de werking in haar geheel draaiend blijft: onderhouden van lokalen, ondernemen van financiële acties, vertegenwoordigen van de werking in de gemeentelijke jeugdraad, enz. De beweging heeft ook een werking op provinciaal en nationaal niveau. Hun doelstelling is de plaatselijke groepen te ondersteunen. Deze ondersteuning speelt in op behoeften en is pedagogisch en administratief onderbouwd. Ze motiveert en geeft inspirerende impulsen. ",NULL,,1,1/27/2009 16:40,
128,,Moeders tegen incest,,1,Versailleslaan,125,1120,Brussel,6,,,,,Vzw Moeders tegen Incest is een ongebonden vereniging van en voor moeders van incestslachtoffers,NULL,,1,1/27/2009 20:30,
129,,Nieuw Internationaal Cultureel Centrum,,1,Lange Winkelhaakstraat,26,2000,Antwerpen,1,,,www.nicc.be,,Het Nieuw Internationaal Cultureel Centrum is een organisatie van en voor beeldende kunstenaars in België. Het NICC komt op voor de belangen van de beeldende kunstenaar en ondersteunt de kunstenaar met advies en de verhuur van professionele ateliers.,NULL,Tentoonstellingsruimte Tulpstraat 79 2060 Antwerpen,1,1/27/2009 20:33,
130,,Ondersteuningsstructuur Bijzondere Jeugdzorg vzw,,1,Cellebroerstraat,16,1000,Brussel,6,,,,,Ondersteuningsstructuur Bijzondere Jeugdzorg (OSBJ) is een steunpunt voor organisaties Bijzondere Jeugdzorg.Richt zich in eerste instantie op de uitbouw van een steunpunt voor inhoudelijke en methodische ontwikkeling binnen de bijzondere jeugdzorg.De OSBJ speelt in op de noden die in de sector bijzondere jeugdozrg worden vastgesteld.,NULL,,1,1/27/2009 20:37,
131,,Regionaal Landschap Meetjesland,,1,Marktstraat,65,9990,Maldegem,4,,,,,Cultuur/historisch/natuurvereniging Regionaal forum of platform met als thema natuur en cultuurlandschap,NULL,,1,1/27/2009 20:50,
132,,Royal Olympia Anderlecht Korfbal,,1,Fruitstraat,73,1070,Anderlecht,6,,,,,Sportvereniging,NULL,NULL,1,1/27/2009 20:55,
133,,Steekplatform Meetjesland vzw,,1,Oostveldestraat,91,9900,Eeklo,4,,,,,"Het Streekplatform+ Meetjesland wil een onafhankelijk platform zijn van representatieve organisaties en besturen uit het Meetjesland. Het stelt zich tot doel een fundamentele bijdrage te leveren in het bevorderen van de welvaart en het welzijn in het Meetjesland door het bewerken van consensus rond een integrale en duurzame ontwikkelingsvisie, het afstemmen van de beleidsvoering in de regio, het stimuleren van samenwerking tussen besturen en organisaties, het intiëren en uitvoeren van regionale initiatieven en projecten en het bewerken van de randvoorwaarden voor een succesvolle streekontwikkeling.",NULL,,1,1/28/2009 10:02,
134,,Streekplatform+ Meetjesland vzw,,1,Oostveldestraat,91,9900,Eeklo,4,,,www.meetjesland.be,,"Het Streekplatform+ Meetjesland wil een onafhankelijk platform zijn van representatieve organisaties en besturen uit het Meetjesland. Het stelt zich tot doel een fundamentele bijdrage te leveren in het bevorderen van de welvaart en het welzijn in het Meetjesland door het bewerken van consensus rond een integrale en duurzame ontwikkelingsvisie, het afstemmen van de beleidsvoering in de regio, het stimuleren van samenwerking tussen besturen en organisaties, het intiëren en uitvoeren van regionale initiatieven en projecten en het bewerken van de randvoorwaarden voor een succesvolle streekontwikkeling.",NULL,,1,1/28/2009 10:11,
135,,Thuisbegeleiding Dementie Limburg,,1,Demerstraat,80,3500,Hasselt,3,,,,,vzw - Dit initiatief gaat uit van twee partners; één uit de intramurale ouderenzorg (nl. vzw Bejaardenzorg Grauwzusters Hasselt en Tongeren) en één uit de ambulante geestelijke gezondheidszorg (Limburgs Instituut voor Toegepaste Psychologie vzw),NULL,NULL,1,1/28/2009 10:17,
136,,Vlaams Gemeenschapsbeleid Anderlecht vzw (kik),,1,G.Moreaustraat,1a,1070,Anderlecht,6,,,,,Welzijnsorganisatie (kinderopvang valt onder welzijn => Kind en Gezin). Ket in Kuregem (KIK) organiseert naschoolse activiteiten voor kinderen van 3 tot 12 die in de wijk Kuregem wonen en schoollopen in het Nederlandstalig basisonderwijs.KIK werkt hiervoor samen met partnerorganisaties uit de wijk en daarbuiten.,NULL,,1,1/28/2009 10:26,
137,,Kenniscentrum Mantelzorg,,1,Groeneweg,151,3001,Heverlee,2,,,,,"Vlaams Platform Thuiszorg is een platform dat samengesteld is uit verschillende organisaties uit het ruime veld van de thuiszorg. Het platform bespreekt thema‘s gerelateerd aan thuiszorg, inspelend op de actualiteit, om te komen tot gemeenschappelijke ideeën en initiatieven. Met de ambitie één stem de belangen van zorgbehoevende personen en hun mantelzorgers in de thuiszorg te behartigen. Tot nu toe zijn er voornamelijk acties ondernomen omtrent de discriminaties binnen de Vlaamse Zorgverzekering.",NULL,,1,1/28/2009 10:39,
138,,Vlaamse Scholierenkoepel Vzw,,1,Bolwerksquare 1A,1A,1050,Brussel,6,,,www.vsknet.be,,"De Vlaamse Scholierenkoepel vzw is de koepel van leerlingenraden en de officieel erkende spreekbuis van de scholieren in Vlaanderen. De vereniging wil ervoor zorgen dat leerlingen betrokken worden in het onderwijs(beleid) opdat onderwijs wordt gerealiseerd dat jongeren goed vinden. Daartoe wil VSK als sterke, brede, representatieve, professionele en participatieve vereniging leerlingen hun stem laten inbrengen in het onderwijsbeleid en leerlingenparticipatie stimuleren.",NULL,,1,1/28/2009 10:46,
139,,Danspunt,,1,Abrahamstraat,13,9000,Gent,4,,,www.danspunt.be,,"Danspunt, de landelijke organisatie voor amateurdans in Vlaanderen, wil de artistieke kwaliteit van amateurdans in Vlaanderen en Brussel bevorderen en heeft oog voor het maatschappelijke belang ervan. Danspunt streeft naar vernieuwing, verdieping en het creëren van meerwaarde door de amateurdanssector te stimuleren, te informeren, te ondersteunen en te begeleiden. Danspunt richt zich tot iedereen die in zijn vrije tijd bezig is met dans en bewegingsexpressie individueel, in groep, in een dansschool, een dansclub of een dansacademie. Ook alle deskundigen actief in de amateurdanssector kunnen bij Danspunt terecht. Daarnaast wil Danspunt als pluralistische organisatie de belangen behartigen van alle amateurdansers en bewegingskunstenaars, rekening houdend met de brede waaier aan dansgenres en met de diversiteit in de samenleving, gekaderd in de nationale en internationale maatschappelijke en culturele ontwikkelingen. Op 1 januari 2002 werd Danspunt officieel erkend door de Vlaamse Gemeenschap als enige disciplinaire organisatie voor amateurdans en wordt sindsdien structureel gesubsidieerd. ",NULL,,1,1/28/2009 12:12,
140,,Passiefhuis-Platform,,1,Gitschotellei,138,2600,Berchem,1,,,,,"Het Passiefhuis-Platform, alias PHP, is een vzw samengesteld uit toonaangevende actoren en instellingen uit de bouwwereld. Zij vertonen stuk voor stuk engagement met betrekking tot energiebesparing en duurzame technologische ontwikkeling. PHP is een zelfstandige organisatie die neutraal is en niet gebonden aan leveranciers of andere groeperingen. Het Passiefhuis-Platform stelt zich tot doel de bouw van energiezuinige gebouwen, gebaseerd op het Passiefhuis-concept, te stimuleren. Het platform wenst hiertoe enerzijds bedrijven bij elkaar te brengen die begaan zijn met dit onderwerp en hun te ondersteunen bij de ontwikkeling van Passiefhuis-technologie. Anderzijds wil het PassiefHuis-platform aan alle geïnteresseerde partijen zoveel mogelijk informatie verstrekken. ",NULL,NULL,1,1/28/2009 12:24,
141,,Chirojeugd Vlaanderen (3),,1,Kipdorp,30,2000,Antwerpen,1,,,,,"Chiro wil op verschillende plaatsen in Vlaanderen en Brussel kinderen en jongeren in hun vrije tijd verenigen. Ze willen hierbij alle kinderen en jongeren aanspreken, ongeacht hun sociale of culturele achtergrond, ongeacht hun fysieke of intellectuele capaciteiten. Via spel willen ze de kinderen en jongeren ervaringen laten opdoen, leren samenleven, hen een kijk bieden op zichzelf en de wereld. Chiro wil een leerschool voor het leven zijn. Spel wordt een manier van leven. Chiro is geen eiland, maar wil betrokken zijn bij de brede gemeenschap. Ze willen jongeren aanzetten om een engagement op te nemen in de buurt en de maatschappij. Ze willen hen vormen tot geëngageerde en kritische wereldburgers. Met alle groepen samen bouwen ze aan één jeugdbeweging. Chiro wil een jeugdbeweging zijn die trouw blijft aan de leefwereld van kinderen en jongeren enerzijds en aan haar inspiratie anderzijds. De Chirodroom is vertaald in een set waarden (rechtvaardigheid, graag zien en innerlijkheid). Via de Chiromethoden (de participatieve, de gemeenschapsgerichte en de intuïtieve methode) willen ze werken aan deze Chirodroom.",NULL,NULL,0,1/28/2009 15:15,
142,,de 8,,1,Van Daelstraat,35,2140,Borgerhout,1,,,,,"Het Antwerps minderhedencentrum de8 vzw werkt aan de toegankelijkheid van instellingen, organisaties en diensten voor alle etnisch-culturele minderheden op de terreinen van: Onderwijs, Werk, Welzijn, Vrije Tijd en Opvang en Onthaal. De8 ijvert ervoor dat de basisrechten van hun doelgroep worden gerespecteerd, ongeacht zijn of haar (verblijfs)statuut. Op basis van hun praktijkwerking zoeken ze naar manieren om de deelname van etnisch-culturele minderheden aan onderwijs, arbeidsmarkt, welzijn en verenigingsleven te versterken. Een constante in de werking van de8 is het bestrijden van discriminatie en racisme.",NULL,,1,1/28/2009 15:18,
143,,Globelink vzw,,1,Sergeant De Bruynestraat,78-82,1070,Anderlecht,6,,,www.globelink.be,,"Globelink is een erkende Vlaamse jeugddienst die werkt rond de ongelijke verdeling in onze wereld. De wanverhoudingen tussen Noord en Zuid staan centraal in hun programma’s. Globelink gelooft dat het Zuiden eerlijke kansen moet krijgen om zich te ontwikkelen en dat dit enkel kan als de Westerlingen in het Noorden de scheve verhoudingen willen rechtzetten die ze zelf hebben gecreëerd. Samen met jongeren gaat Globelink op zoek naar antwoorden op een aantal vragen. Hoe zit de wereld politiek, economisch en sociaal in elkaar? Op welke manier zijn wij Westerlingen zelf een radertje in de wereld? Waar kan de verantwoordelijkheid van de jongeren liggen? De organisatie wil jongeren de kans geven hun stem te laten horen op het publieke forum. Inspraak en participatie van jongeren in de Noord-Zuid-problematiek draagt Globelink hoog in het vaandel. Dit alles past onder de noemer “jeugdwerk”; wat wil zeggen dat Globelink activiteiten organiseert in de vrijetijdssfeer. ",NULL,,1,1/28/2009 16:07,
144,,Kortrijk-Stadsbestuur,,1,Grote Markt,54,8400,Kortrijk,4,,,,,"Het stadsbestuur van Kortrijk, dienst Burger en Welzijn, wil een optimale dienstverlening naar de burgers garanderen. ",NULL,NULL,1,1/28/2009 16:15,
145,,Activeringsproject - Free clinic,,1,Borgerhoutsestraat,28,2018,Antwerpen,1,,,,,"Free Clinic is sinds 1 maart 1997 erkend als Medisch Sociaal OpvangCentrum (M.S.O.C.) voor gebruikers van illegale drugs in de provincie Antwerpen. Het is een ambulant centrum met een ruim aanbod aan medische en psychosociale hulpverlening. De revalidatie in het centrum heeft als doel de toestand van de druggebruiker op medisch, psychologisch en sociaal vlak gevoelig te verbeteren. Om zo‘n verbetering te bekomen, kan het in eerste instantie aangewezen zijn te werken aan beperkte, haalbare tussendoelen. In sommige gevallen kan de behandeling zich tijdelijk uitsluitend richten op het in contact komen en blijven met de druggebruiker. Soms zal het centrum zijn doelstelling dienen te beperken tot een vermindering of eliminatie van het druggebruik door het toedienen van vervangingsmedicatie voor een korte of langere periode. Het Activeringsproject voor de Harde Kern Druggebruikers is ontstaan in de zomer van 2004 en betreft in de eerste plaats de prioritaire doelgroep zoals in het projectdossier ‘Activering Harde Kern Druggebruikers ’ vermeld staat: ‘de harde kern druggebruikers in de Atheneumbuurt, meer bepaald op het de Coninckplein, die gekenmerkt worden door een gecombineerd gebruik van legale en illegale middelen en die zorgt voor een deel van de overlast’. ",NULL,,1,1/29/2009 10:08,
146,,Centr. vr Relatievorming en Zwangerschapsproblemen,,1,Kapucijnenvoer,33,3000,Leuven,2,,,www.crz.be,,"Het Centrum voor Relatievorming en Zwangerschapsproblemen (cRZ) is tegelijk een expertisecentrum en een centrum voor hulpverlening. Ze doen aan studie, vorming en begeleiding betreffende de volgende thema‘s: - tienerzwangerschap - ongeplande zwangerschap - abortus - prenatale diagnose ",NULL,,1,1/29/2009 10:12,
147,,Federatie Tweedekansonderwijs Vlaanderen,,1,Maalbootstraat,16,2660,Antwerpen,1,,,,,De Federatie Tweedekansonderwijs Vlaanderen verenigt momenteel 16 centra voor volwassenenonderwijs die volwassenen begeleiden om het diploma secundair onderwijs te behalen. Ze verdedigen de belangen van de laaggeschoolde cursist enerzijds en de belangen van de centra die dit met te karige middelen moeten bolwerken anderzijds.,NULL,,1,1/29/2009 10:14,
148,,Nederlandstalige Vrouwenraad,,1,Middaglijnstraat,10,1210,Brussel,6,,,,,"Vrouwenvereniging. De Vrouwenraad is een overkoepelende organisatie voor verenigingen die werken aan gelijke kansen voor vrouwen en mannen. Onze inzet voor een genderevenwichtige samenleving wordt geïnspireerd door diverse internationale verdragen en mensenrechten-instrumenten. De Vrouwenraad streeft naar een evenwichtige combinatie van gelijkheid, solidariteit, vrijheid, democratie, verantwoordelijkheid, verdraagzaamheid, duurzaamheid, economische en ecologische doelmatigheid, zorgzaamheid. We eisen gelijke rechten/behandeling voor alle vrouwen en mannen ongeacht leeftijd, afkomst, overtuiging, seksuele voorkeur,...rekening houdend met onderlinge verschillen. ",NULL,NULL,1,1/29/2009 10:20,
149,,Netwerk Vlaanderen,,1,Vooruitgansstraat,333/9,1030,Brussel,6,,,,,"Netwerk Vlaanderen, Beweging voor Anders Omgaan met Geld vzw, promoot het mens- en milieuvriendelijk omgaan met geld. Netwerk is een wegwijzer op de markt van duurzame spaar- en beleggingsvormen. Netwerk voert o.m. de campagne “Mijn Geld. Goed Geweten?” om banken te wijzen op hun verantwoordelijkheid voor investeringen rondom mensenrechtenschendingen.",NULL,NULL,1,1/29/2009 10:22,
150,,huisvandeMens Brussel,,1,Brand Withlocklaan,87,1200,Sint-Lambrechts-Woluwe,6,,,,,Bij deMens.nu staat de mens centraal. En mensen hebben mensen nodig. Daarom vind je ons overal in Vlaanderen en Brussel. In het huisvandeMens is iedereen welkom. De vrijzinnig humanistische consulenten helpen je graag verder.,NULL,,1,1/29/2009 10:32,
151,,Vlaams Netwerk Armoede (2),,1,Vooruitgansstraat,323/6,1030,Brussel,6,,,,,"In het Vlaams Netwerk van verenigingen waar armen het woord nemen, werken een vijftigtal verenigingen samen met het uiteindelijke doel armoede en sociale uitsluiting uit te bannen. In de verenigingen staan mensen die in armoede leven centraal. Zij nemen er op alle niveaus het woord. De verenigingen gaan actief op zoek naar mensen die in armoede leven om hen te betrekken bij de werking, hen het woord te geven, te ondersteunen om meer greep te krijgen op hun eigen situatie en in actie te komen tegen maatschappelijke onrechtvaardigheden. De verenigingen kunnen voor ondersteuning van hun werking beroep doen op het team van het Vlaams Netwerk. Ook de onderlinge uitwisseling van ervaringen, visies, succesverhalen en leerprocessen tussen de verenigingen is een belangrijke opdracht voor het Vlaams Netwerk. ",NULL,NULL,1,1/29/2009 10:36,
152,,Vlaamse Vereniging Verpleegkundigen Spoedgevallen,,1,Woutervelden,51,3850,Nieuwerkerken,3,,,,,Bevorderen en optimaliseren van de dringende hulpverlening en de spoedgevallenzorg. Het organiseren van wetenschappelijke bijeenkomsten en bijscholingen. Ondersteunen van de hoofdverpleegkundigen bij het beleid. ,NULL,,1,1/29/2009 10:41,
153,,Belgisch Nationaal Herdenkingscomité,,1,Karmelietenstraat,24-Jul,1000,Brussel,6,,,www.ww1-ww2-commemorations.com,,Vereniging voor het bewaren van de herinnering aan de offers in België gebracht tijdens de Tweede Wereldoorlog) gericht naar de jeugd en de toekomstige generaties.,NULL,,1,1/29/2009 12:04,
154,,Forum van Etnisch-Culturele Minderheden (4),,1,Vooruitgansstraat,323/4,1030,Brussel,6,,,,,"Het Forum voor Etnisch-Culturele Minderheden is een koepel van verenigingen van etnisch-culturele minderheden. Dit zijn allochtonen, vluchtelingen en woonwagenbewoners. Gedragen door de basis van het verenigingsleven, vervult het Forum het woordvoerderschap van deze groepen. Het Minderhedenforum ontwikkelt gezamenlijke visies en standpunten en is de erkende gesprekspartner van de overheid voor alle materies die de etnisch-culturele minderheden aanbelangen.",NULL,NULL,1,1/29/2009 12:29,
155,,Albe vzw,,1,Lobelialaan,14,2950,Kapellen,1,,,,,"Albe is een bezigheidstehuis, gestart in 1982, dat voorziet in een aangepaste en begeleide woon-en leefsituatie voor een 40-tal volwassenen met een mentale handicap en een psychiatrische achtergrond. ",NULL,,1,1/29/2009 13:50,
