"idquestionlog","question_idquestion","datecreated","event","description","attachment","manual"
"3067","1603","2009-01-28 11:11:06","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"3068","1567","2009-01-28 11:11:17","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","NULL","0"
"3069","1604","2009-01-28 11:11:17","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"3070","1566","2009-01-28 11:12:22","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","NULL","0"
"3071","1565","2009-01-28 11:12:26","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","NULL","0"
"3072","1564","2009-01-28 11:12:30","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","NULL","0"
"3073","1563","2009-01-28 11:12:34","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","NULL","0"
"3074","1562","2009-01-28 11:12:38","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","NULL","0"
"3075","1566","2009-01-28 11:13:16","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","NULL","0"
"3076","1605","2009-01-28 11:13:16","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"3077","1565","2009-01-28 11:13:51","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","NULL","0"
"3078","1606","2009-01-28 11:13:51","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"3079","1564","2009-01-28 11:14:12","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","NULL","0"
"3080","1607","2009-01-28 11:14:12","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"3081","1563","2009-01-28 11:15:06","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","NULL","0"
"3082","1608","2009-01-28 11:15:06","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"3083","1562","2009-01-28 11:15:33","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","NULL","0"
"3084","1609","2009-01-28 11:15:33","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"3085","1585","2009-01-28 11:16:37","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3086","1584","2009-01-28 11:16:44","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3087","1583","2009-01-28 11:16:50","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3088","1582","2009-01-28 11:16:56","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3089","1581","2009-01-28 11:17:03","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3090","1580","2009-01-28 11:17:11","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3091","1579","2009-01-28 11:17:17","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3092","1578","2009-01-28 11:17:23","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3093","1577","2009-01-28 11:17:50","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3094","1576","2009-01-28 11:17:58","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3095","1575","2009-01-28 11:18:04","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3096","1574","2009-01-28 11:18:10","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3097","1573","2009-01-28 11:19:06","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3098","1572","2009-01-28 11:19:34","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3099","1571","2009-01-28 11:19:46","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3100","1570","2009-01-28 11:19:52","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3101","1569","2009-01-28 11:19:58","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3102","1568","2009-01-28 11:20:04","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3103","1567","2009-01-28 11:20:13","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3104","1566","2009-01-28 11:20:23","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3105","1565","2009-01-28 11:20:29","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3106","1564","2009-01-28 11:20:36","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3107","1563","2009-01-28 11:20:42","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3108","1562","2009-01-28 11:20:48","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: NVT door Wetenschapswinkel Antwerpen.","NULL","0"
"3109","1585","2009-01-28 11:21:39","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3110","1584","2009-01-28 11:21:48","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3111","1583","2009-01-28 11:21:57","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3112","1582","2009-01-28 11:22:05","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3113","1581","2009-01-28 11:22:11","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3114","1580","2009-01-28 11:22:17","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3115","1579","2009-01-28 11:22:23","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3116","1578","2009-01-28 11:22:29","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3117","1577","2009-01-28 11:22:35","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3118","1576","2009-01-28 11:22:42","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3119","1575","2009-01-28 11:22:49","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3120","1574","2009-01-28 11:22:54","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3121","1573","2009-01-28 11:23:01","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3122","1572","2009-01-28 11:23:06","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3123","1571","2009-01-28 11:23:13","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3124","1570","2009-01-28 11:23:20","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3125","1569","2009-01-28 11:23:25","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3126","1568","2009-01-28 11:23:31","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3127","1567","2009-01-28 11:23:37","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3128","1566","2009-01-28 11:23:43","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3129","1565","2009-01-28 11:23:48","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3130","1564","2009-01-28 11:23:54","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3131","1563","2009-01-28 11:24:00","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3132","1562","2009-01-28 11:24:06","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","Verwerkt. Actie: NVT door Wetenschapswinkel Gent.","NULL","0"
"3133","1585","2009-01-28 11:24:43","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3134","1584","2009-01-28 11:24:49","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3135","1583","2009-01-28 11:24:55","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3136","1582","2009-01-28 11:25:02","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3137","1581","2009-01-28 11:25:11","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3138","1580","2009-01-28 11:25:18","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3139","1579","2009-01-28 11:25:26","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3140","1578","2009-01-28 11:26:37","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3141","1577","2009-01-28 11:26:45","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3142","1576","2009-01-28 11:26:52","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3143","1575","2009-01-28 11:26:58","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3144","1574","2009-01-28 11:27:05","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3145","1573","2009-01-28 11:27:11","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3146","1572","2009-01-28 11:27:17","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3147","1571","2009-01-28 11:27:24","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3148","1570","2009-01-28 11:27:47","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3149","1569","2009-01-28 11:27:55","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3150","1568","2009-01-28 11:28:35","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3151","1567","2009-01-28 11:28:41","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3152","1566","2009-01-28 11:28:47","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3153","1565","2009-01-28 11:28:54","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3154","1564","2009-01-28 11:29:00","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3155","1563","2009-01-28 11:29:08","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3156","1562","2009-01-28 11:29:15","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","Verwerkt. Actie: NVT door Wetenschapswinkel Hasselt.","NULL","0"
"3157","1585","2009-01-28 11:33:51","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3158","1585","2009-01-28 11:33:51","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3159","1584","2009-01-28 11:34:27","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3160","1584","2009-01-28 11:34:27","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3161","1583","2009-01-28 11:34:35","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3162","1583","2009-01-28 11:34:35","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3163","1582","2009-01-28 11:35:27","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3164","1582","2009-01-28 11:35:27","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3165","1581","2009-01-28 11:35:44","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3166","1581","2009-01-28 11:35:44","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3167","1580","2009-01-28 11:35:50","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3168","1580","2009-01-28 11:35:50","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3169","1579","2009-01-28 11:35:56","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3170","1579","2009-01-28 11:35:56","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3171","1578","2009-01-28 11:36:02","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3172","1578","2009-01-28 11:36:02","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3173","1577","2009-01-28 11:36:09","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3174","1577","2009-01-28 11:36:09","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3175","1576","2009-01-28 11:36:14","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3176","1576","2009-01-28 11:36:14","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3177","1575","2009-01-28 11:36:20","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3178","1575","2009-01-28 11:36:20","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3179","1574","2009-01-28 11:36:26","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3180","1574","2009-01-28 11:36:26","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3181","1573","2009-01-28 11:36:31","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3182","1573","2009-01-28 11:36:31","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3183","1572","2009-01-28 11:36:49","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3184","1572","2009-01-28 11:36:49","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3185","1571","2009-01-28 11:37:36","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3186","1571","2009-01-28 11:37:36","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3187","1570","2009-01-28 11:37:42","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3188","1570","2009-01-28 11:37:42","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3189","1569","2009-01-28 11:37:48","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3190","1569","2009-01-28 11:37:48","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3191","1568","2009-01-28 11:37:54","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3192","1568","2009-01-28 11:37:54","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3193","1567","2009-01-28 11:37:59","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3194","1567","2009-01-28 11:37:59","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3195","1566","2009-01-28 11:38:05","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3196","1566","2009-01-28 11:38:05","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3197","1565","2009-01-28 11:38:11","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3198","1565","2009-01-28 11:38:11","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3199","1565","2009-01-28 11:38:11","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3200","1565","2009-01-28 11:38:11","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3201","1564","2009-01-28 11:38:32","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3202","1564","2009-01-28 11:38:32","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3203","1563","2009-01-28 11:40:35","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3204","1563","2009-01-28 11:40:35","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3205","1562","2009-01-28 11:40:42","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","Verwerkt. Actie: NVT door Wetenschapswinkel Leuven.","NULL","0"
"3206","1562","2009-01-28 11:40:42","Vraag geweigerd","Vraag geweigerd","NULL","0"
"3207","1707","2009-01-28 12:07:05","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3208","1708","2009-01-28 12:10:35","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3209","1709","2009-01-28 12:13:42","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3210","1710","2009-01-28 12:14:53","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3211","1711","2009-01-28 12:15:25","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3212","1712","2009-01-28 12:16:09","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3213","1713","2009-01-28 12:16:37","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3214","1714","2009-01-28 12:17:10","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3215","1715","2009-01-28 12:18:19","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3216","1716","2009-01-28 12:19:08","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3217","1717","2009-01-28 12:20:28","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3218","1718","2009-01-28 12:21:34","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3219","1719","2009-01-28 12:22:39","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3220","1720","2009-01-28 12:25:21","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3221","1721","2009-01-28 12:25:56","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3222","1722","2009-01-28 12:26:23","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3223","1723","2009-01-28 12:26:47","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3224","1724","2009-01-28 12:27:16","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3225","1725","2009-01-28 12:27:53","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3226","1726","2009-01-28 12:28:24","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3227","1727","2009-01-28 12:28:53","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3228","1728","2009-01-28 12:29:15","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3229","1729","2009-01-28 12:31:56","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3230","1730","2009-01-28 12:33:15","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3231","1731","2009-01-28 12:33:43","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3232","1732","2009-01-28 12:34:25","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3233","1733","2009-01-28 12:34:51","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3234","1734","2009-01-28 12:36:10","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"3235","1734","2009-01-28 12:41:05","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"3236","1733","2009-01-28 12:41:05","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"3237","1732","2009-01-28 12:41:05","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"3238","1731","2009-01-28 12:41:05","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"3239","1730","2009-01-28 12:41:05","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"3240","1729","2009-01-28 12:41:05","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"3241","1728","2009-01-28 12:41:05","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"3242","1727","2009-01-28 12:41:05","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"3243","1726","2009-01-28 12:41:06","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"3244","1725","2009-01-28 12:41:06","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"3245","1724","2009-01-28 12:41:06","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"3246","1723","2009-01-28 12:41:06","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
